,Date,Title
0,02-07-2025 03:00,"Nifty , Sensex likely to open flat as rangebound trade continues ; key levels to track on July 2"
2,02-07-2025 03:15,"NIFTY MIDCAP 150 Index Live , 02 July 2025 : Weekly , monthly and yearly historical performance of Nifty Midcap 150"
3,02-07-2025 03:15,"NIFTY BANK Index Live , 02 July 2025 : Review of weekly , monthly and yearly historical performance of Nifty Bank"
4,02-07-2025 03:15,India equity benchmarks likely to rise after Trump comment on trade deal
5,02-07-2025 03:15,"NIFTY MIDCAP 150 Index Live , 02 July 2025 : Weekly , monthly and yearly historical performance of Nifty Midcap 150"
6,02-07-2025 03:15,"NIFTY NEXT 50 Index Live , 02 July 2025 : Historical performance overview of Nifty Next 50"
8,02-07-2025 03:15,"NIFTY BANK Index Live , 02 July 2025 : Review of weekly , monthly and yearly historical performance of Nifty Bank"
9,02-07-2025 03:30,"Gold prices today in your city : Check prices in Mumbai , Bengaluru , Chennai , Hyderabad , New Delhi and Kolkata on July 2"
10,02-07-2025 03:30,"Infosys , HCL Tech to TCS share prices : Is IT sector poised for a better H2CY25"
11,02-07-2025 03:30,"Nifty 50 , Sensex today : What to expect from Indian stock market in trade on July 2"
12,02-07-2025 03:30,"Infosys , HCL Tech to TCS share prices : Is IT sector poised for a better H2CY25"
14,02-07-2025 03:30,"Gold prices today in your city : Check prices in Mumbai , Bengaluru , Chennai , Hyderabad , New Delhi and Kolkata on July 2"
15,02-07-2025 03:45,India IPO market eyes $2 . 4 billion in offerings in July as confidence rebounds | Business News
16,02-07-2025 04:30,India equity benchmarks inch higher at the open after Trump comment on trade deal
17,02-07-2025 05:00,"Nifty , Sensex opened with gains on Trump trade deal optimism , Q1 results in July to drive market further"
19,02-07-2025 05:15,"Pune E - Stock Share Price , Pune E - Stock Stock Price , Pune E - Stock Broking Ltd . Stock Price , Share Price , Live BSE / NSE , Pune E - Stock Broking Ltd . Bids Offers . Buy / Sell Pune E - Stock Broking Ltd . news & tips , & F & O Quotes , NSE ..."
21,02-07-2025 06:30,Week of 27th June 2025 - FIIs flows increase 2x . Debt sees 2nd week of inflows
22,02-07-2025 06:30,"India HDB Financial shines in trading debut , valuing non - bank lender at over $8 billion"
23,02-07-2025 06:30,Stocks Surged updates : Sensex falls ! But these stocks are up over 5 % on BSE
25,02-07-2025 07:00,"Nifty , Sensex Muted In Morning Session As Financial Stocks Weigh"
26,02-07-2025 08:00,Divis Labs to JSW Steel - Jay Thakkar suggests three stocks to buy for short - term in F & O segment
29,02-07-2025 09:00,"Nifty prediction todayas July 02 , 2025 : Supports coming up . Go long on dips"
30,02-07-2025 09:15,Indian non - bank lender HDB Financial valuation soars to $8b in trading debut
31,02-07-2025 11:45,Does MACD Work in India ? 25 - Year Backtest on Nifty Indices
33,02-07-2025 12:00,"Financials Drag Nifty , Sensex To Closer Lower On Wednesday"
34,02-07-2025 17:30,Trade setup for July 3 : Top 15 things to know before the opening bell
36,02-07-2025 17:30,"Sensex , Nifty Close Lower as Investors Turn Cautious Ahead of Trump Tariff Deadline"
37,02-07-2025 18:15,"Trading Plan : Can Nifty 50 hold 25 , 400 , Bank Nifty find support at 56 , 800 ? "
39,03-07-2025 02:30,"Dalal Street likely to see another flat start , investors await Q1 earnings ; levels to track on July 3"
41,03-07-2025 02:30,"Stock Market LIVE Updates : GIFT Nifty indicates a firm start ; US , Asian markets gain"
42,03-07-2025 02:30,Beyond borders : Why global investing makes sense for Indian portfolios
